wall_id x y
10 0.885075 -0.592753
10 0.884768 -0.642616
10 0.884658 -0.692594
10 0.887703 -0.742494
10 0.889498 -0.792397
10 0.889892 -0.842378
10 0.892035 -0.892295
10 0.893165 -0.942154
10 0.893912 -0.992100
10 0.892271 -1.041964
10 0.894684 -1.091715
10 0.896087 -1.141527
10 0.897080 -1.191387
10 0.898117 -1.241313
10 0.898540 -1.290956
10 0.900203 -1.340162
10 0.901159 -1.389743
10 0.903354 -1.438543
10 0.926095 -1.482243
13 -2.441700 1.157615
13 -2.392803 1.153623
13 -2.343518 1.154101
13 -2.294225 1.155672
13 -2.244371 1.158489
13 -2.194683 1.158917
13 -2.144719 1.159685
13 -2.094860 1.159571
13 -2.045050 1.162407
13 -1.995455 1.159746
13 -1.946120 1.160122
13 -1.896191 1.160243
13 -1.846312 1.162343
13 -1.796375 1.163327
13 -1.746405 1.164251
13 -1.696429 1.163479
13 -1.646450 1.164337
13 -1.596476 1.163795
13 -1.546487 1.163955
13 -1.496496 1.163800
13 -1.446498 1.163893
13 -1.396518 1.165065
13 -1.346519 1.165113
13 -1.296525 1.165049
13 -1.246529 1.165564
13 -1.196531 1.165621
13 -1.146534 1.165469
13 -1.096547 1.166238
13 -1.046555 1.166948
13 -0.996561 1.166618
13 -0.946564 1.167097
13 -0.896573 1.167935
13 -0.846585 1.168939
13 -0.796599 1.170117
13 -0.746603 1.170586
13 -0.696606 1.170349
13 -0.646609 1.170127
13 -0.596610 1.170133
13 -0.546618 1.170784
13 -0.496619 1.170963
13 -0.446621 1.171271
13 -0.396628 1.171460
13 -0.346633 1.171659
13 -0.296637 1.171899
13 -0.246642 1.172155
13 -0.196649 1.172943
13 -0.146667 1.174046
13 -0.096679 1.174842
13 -0.046682 1.175011
13 0.003312 1.175616
13 0.053278 1.177401
13 0.103270 1.178084
13 0.153268 1.178227
13 0.203263 1.178182
13 0.253250 1.179240
13 0.303241 1.180031
13 0.353238 1.180025
13 0.403225 1.179940
13 0.453218 1.180399
13 0.503214 1.180583
13 0.553210 1.181086
13 0.603201 1.180335
13 0.650565 1.169346
13 0.662473 1.121690
13 0.662708 1.071788
13 0.664071 1.021865
13 0.665746 0.971923
13 0.666233 0.921967
13 0.664513 0.872001
13 0.664979 0.822073
13 0.710998 0.815147
13 0.760374 0.808451
13 0.806956 0.794963
13 0.856613 0.797088
13 0.906452 0.795839
13 0.956190 0.796376
13 1.006013 0.795692
13 1.055971 0.794391
13 1.105908 0.795182
13 1.155865 0.794259
13 1.205775 0.796685
13 1.249463 0.784085
13 1.224255 0.746054
13 1.198934 0.704745
13 1.203149 0.654941
13 1.205328 0.604999
13 1.206696 0.555033
13 1.207095 0.505041
13 1.206394 0.455084
13 1.206085 0.405094
13 1.206798 0.355116
13 1.207560 0.305124
13 1.208505 0.255152
13 1.207511 0.205169
13 1.209339 0.155279
13 1.212873 0.105528
13 1.213032 0.055583
13 1.215098 0.005661
13 1.215726 -0.044321
13 1.215489 -0.094310
13 1.217133 -0.144262
13 1.217060 -0.194260
13 1.218466 -0.244230
13 1.219524 -0.294209
13 1.221135 -0.344162
13 1.215643 -0.405999
